Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
Touch (feat. Paul Williams),"Daft Punk, Paul Williams",2013,"['electro', 'filter house', 'rock']",0.477,0.29,498960,0.412,0.0839,6,0.079,-12.659,0,0.0458,90.539,4,train
"The Son of Flynn - From ""TRON: Legacy""/Score",Daft Punk,2010,"['electro', 'filter house', 'rock']",0.901,0.543,95227,0.775,0.902,0,0.258,-17.616,0,0.052,106.018,4,train
"Around the World / Harder, Better, Faster, Stronger",Daft Punk,2007,"['electro', 'filter house', 'rock']",0.00152,0.629,342627,0.787,0.359,5,0.209,-8.399,0,0.0646,125.998,4,train
"Derezzed - From ""TRON: Legacy""/Score",Daft Punk,2010,"['electro', 'filter house', 'rock']",0.00166,0.54,104120,0.635,0.788,1,0.209,-10.071,1,0.0519,119.995,4,train
Nightvision,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.845,0.491,104467,0.186,0.916,0,0.109,-29.512,1,0.0321,119.883,4,train
The Son of Flynn,Daft Punk,2010,"['electro', 'filter house', 'rock']",0.896,0.539,95226,0.777,0.912,0,0.222,-17.645,0,0.0535,105.989,4,train
Derezzed,Daft Punk,2010,"['electro', 'filter house', 'rock']",0.00109,0.539,104113,0.617,0.762,1,0.18,-10.057,1,0.046,119.993,4,train
The Game of Love,Daft Punk,2013,"['electro', 'filter house', 'rock']",0.825,0.712,322147,0.5,0.314,9,0.106,-11.948,0,0.0338,90.039,4,train
Superheroes,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.00409,0.619,237800,0.74,0.00356,11,0.102,-8.204,0,0.0789,140.874,4,train
High Life,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.00435,0.653,201800,0.869,0.413,8,0.334,-9.393,1,0.217,125.207,4,train
Within,Daft Punk,2013,"['electro', 'filter house', 'rock']",0.894,0.702,228507,0.297,0.485,10,0.103,-14.116,0,0.0317,110.116,4,train
"Solar Sailer - From ""TRON: Legacy""/Score",Daft Punk,2010,"['electro', 'filter house', 'rock']",0.852,0.179,162120,0.167,0.748,1,0.106,-23.408,1,0.0394,124.266,3,train
The Grid,Daft Punk,2010,"['electro', 'filter house', 'rock']",0.307,0.556,96740,0.53,0.22,1,0.333,-13.527,1,0.0387,102.018,4,train
Beyond,Daft Punk,2013,"['electro', 'filter house', 'rock']",0.367,0.716,290240,0.648,0.485,8,0.368,-11.33,0,0.0337,104.022,4,train
Revolution 909,Daft Punk,1997,"['electro', 'filter house', 'rock']",0.0265,0.745,335027,0.716,0.846,11,0.246,-7.918,1,0.136,126.527,4,train
Television Rules the Nation / Crescendolls,Daft Punk,2007,"['electro', 'filter house', 'rock']",6.53e-05,0.58,290840,0.786,0.207,6,0.461,-9.979,1,0.0675,126.004,4,train
Short Circuit,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.00461,0.535,206867,0.558,0.824,6,0.0821,-10.756,1,0.0741,109.69,4,train
Too Long,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.00211,0.692,600293,0.582,0.0,5,0.177,-10.164,0,0.301,127.017,4,train
Human After All,Daft Punk,2005,"['electro', 'filter house', 'rock']",0.00139,0.608,319880,0.725,0.0546,0,0.0802,-4.367,1,0.342,136.251,4,train
Recognizer,Daft Punk,2010,"['electro', 'filter house', 'rock']",0.484,0.579,157719,0.534,0.547,1,0.108,-14.585,1,0.0391,104.011,4,train
Contact,Daft Punk,2013,"['electro', 'filter house', 'rock']",0.00282,0.4,383627,0.756,0.753,11,0.0695,-8.423,0,0.0492,123.828,4,train
Touch It / Technologic,Daft Punk,2007,"['electro', 'filter house', 'rock']",0.00494,0.52,329653,0.545,0.285,11,0.464,-12.67,0,0.158,121.78,4,train
Rinzler,Daft Punk,2010,"['electro', 'filter house', 'rock']",0.483,0.498,137636,0.62,0.813,9,0.0947,-14.651,1,0.0477,90.046,4,train
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],"Daft Punk, Julian Casablancas, The Voidz",2023,"['electro', 'filter house', 'rock']",0.11,0.636,239213,0.635,0.643,1,0.61,-10.532,1,0.0534,110.031,4,train
Make Love,Daft Punk,2005,"['electro', 'filter house', 'rock']",0.783,0.697,289680,0.548,0.841,1,0.132,-9.087,1,0.0561,133.005,4,train
Arena,Daft Punk,2010,"['electro', 'filter house', 'rock']",0.0181,0.168,93236,0.411,0.972,3,0.0702,-13.573,1,0.037,99.991,4,train
Robot Rock / Oh Yeah,Daft Punk,2007,"['electro', 'filter house', 'rock']",0.00018,0.479,387507,0.678,0.661,2,0.421,-12.17,1,0.0758,116.033,4,train
Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
Basket Case,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00293,0.442,181533,0.943,8.71e-06,3,0.091,-3.205,1,0.0602,85.064,4,train
Brain Stew,Green Day,1995,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00133,0.559,193000,0.543,2e-05,1,0.0577,-5.429,1,0.302,75.958,4,train
When I Come Around,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.0175,0.531,178000,0.909,0.0,11,0.231,-4.236,1,0.034,97.546,4,train
American Idiot,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",2.64e-05,0.38,176346,0.988,7.86e-05,1,0.368,-2.042,1,0.0639,186.113,4,train
Good Riddance (Time of Your Life),Green Day,1997,"['modern rock', 'permanent wave', 'punk', 'rock']",0.183,0.475,153467,0.432,0.0,7,0.161,-7.844,1,0.0302,94.605,4,train
Boulevard of Broken Dreams,Green Day,2017,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00552,0.496,262333,0.682,2.94e-05,8,0.0589,-4.095,1,0.0294,167.06,4,train
Holiday,Green Day,2017,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000143,0.552,232680,0.89,0.0,8,0.888,-3.409,1,0.0342,146.525,4,train
Wake Me up When September Ends,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",0.023,0.546,285653,0.814,0.0,7,0.0972,-5.146,1,0.0314,104.98,4,train
21 Guns,Green Day,2009,"['modern rock', 'permanent wave', 'punk', 'rock']",0.0518,0.268,321093,0.742,0.0,5,0.626,-4.939,1,0.0355,159.779,4,train
Holiday / Boulevard of Broken Dreams,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000659,0.29,493400,0.827,2.55e-06,8,0.301,-3.451,1,0.0362,167.086,4,train
Welcome to Paradise,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000241,0.37,224133,0.96,0.0116,3,0.0563,-4.162,0,0.0378,89.428,4,train
Longview,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00834,0.381,233240,0.732,0.0101,10,0.0854,-7.594,0,0.0536,142.504,4,train
She,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",7.37e-05,0.37,134293,0.937,0.00817,1,0.0904,-3.939,0,0.0356,93.307,4,train
Jesus of Suburbia,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000259,0.3,548253,0.929,2.26e-06,1,0.329,-3.214,1,0.0636,147.116,4,train
Dilemma,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000318,0.545,198325,0.892,0.0,2,0.209,-3.381,1,0.0558,120.41,4,train
Damn Good Day To Leave,Riley Green,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00375,0.569,211467,0.875,0.0,10,0.363,-5.016,1,0.034,124.944,4,train
Damn Good Day To Leave,Riley Green,2023,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00375,0.569,211467,0.875,0.0,10,0.363,-5.016,1,0.034,124.944,4,train
American Idiot,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",2.53e-05,0.381,174320,0.984,6.91e-05,1,0.27,-2.42,1,0.0638,186.081,4,train
Know Your Enemy,Green Day,2009,"['modern rock', 'permanent wave', 'punk', 'rock']",0.0016,0.56,190987,0.958,4.96e-05,11,0.0643,-3.245,1,0.0412,129.984,4,train
Hitchin' a Ride,Green Day,1997,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00306,0.424,171467,0.919,0.00674,9,0.123,-4.629,1,0.1,163.732,4,train
Burnout,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000165,0.5,127533,0.921,0.00118,6,0.0959,-5.261,1,0.0355,90.861,4,train
Bobby Sox,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00172,0.583,224310,0.886,1.15e-06,4,0.434,-3.888,1,0.035,106.008,4,train
Holiday / Boulevard of Broken Dreams,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000659,0.29,493400,0.827,2.55e-06,8,0.301,-3.451,1,0.0362,167.086,4,train
Last Night on Earth,Green Day,2009,"['modern rock', 'permanent wave', 'punk', 'rock']",0.0371,0.556,236533,0.486,1.45e-06,2,0.164,-7.139,1,0.0329,119.955,4,train
Minority,Green Day,2000,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00576,0.551,168227,0.965,0.0,0,0.171,-2.772,1,0.0452,137.841,4,train
One Eyed Bastard,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00759,0.665,172900,0.848,4.18e-06,6,0.342,-2.722,0,0.0282,130.024,4,train
Still Breathing,Green Day,2016,"['modern rock', 'permanent wave', 'punk', 'rock']",0.0142,0.54,224760,0.902,0.0,1,0.0756,-3.577,1,0.0442,75.033,4,train
Give Me Novacaine / She's a Rebel,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00185,0.312,326200,0.949,1.78e-05,9,0.0569,-3.533,1,0.0784,154.795,4,train
The American Dream Is Killing Me,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000165,0.534,186271,0.95,1.98e-06,6,0.268,-2.51,1,0.0459,142.972,4,train
Whatsername,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00104,0.813,257213,0.547,0.00335,2,0.0914,-5.936,1,0.0344,119.998,4,train
"Look Ma, No Brains!",Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",1.36e-05,0.371,123541,0.99,0.0,2,0.281,-3.733,1,0.0768,179.982,4,train
Having a Blast,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00181,0.449,164667,0.938,0.0,1,0.353,-6.36,1,0.0455,89.695,4,train
1981,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000448,0.405,129693,0.978,0.0,11,0.341,-3.112,1,0.103,185.04,4,train
Warning,Green Day,2000,"['modern rock', 'permanent wave', 'punk', 'rock']",0.0673,0.728,221667,0.92,1.61e-05,2,0.199,-2.828,1,0.0294,120.989,4,train
Walking Contradiction,Green Day,1995,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000473,0.456,151173,0.985,0.0,1,0.0839,-2.597,1,0.0765,154.343,4,train
Waiting,Green Day,2000,"['modern rock', 'permanent wave', 'punk', 'rock']",0.0219,0.557,192360,0.834,0.0,8,0.329,-4.371,1,0.0335,137.69,4,train
Nice Guys Finish Last,Green Day,1997,"['modern rock', 'permanent wave', 'punk', 'rock']",3.27e-05,0.494,168867,0.993,0.0241,1,0.173,-2.919,0,0.0705,93.972,4,train
Goodnight Adeline,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00574,0.43,176965,0.926,0.0,2,0.27,-2.684,1,0.0442,152.091,4,train
Bang Bang,Green Day,2016,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000326,0.499,205440,0.958,2.19e-06,9,0.432,-5.417,1,0.0898,127.491,4,train
Coming Clean,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000138,0.338,94893,0.992,0.000228,10,0.214,-4.907,1,0.073,171.552,4,train
Strange Days Are Here to Stay,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000373,0.47,185557,0.96,0.000227,4,0.0757,-3.481,1,0.0823,168.954,4,train
Jaded,Green Day,1995,"['modern rock', 'permanent wave', 'punk', 'rock']",3.01e-05,0.254,90227,0.995,4.14e-05,1,0.0392,-3.068,1,0.0669,159.336,4,train
Revolution Radio,Green Day,2016,"['modern rock', 'permanent wave', 'punk', 'rock']",4.63e-05,0.419,180853,0.971,1.43e-05,7,0.171,-3.622,1,0.0909,180.033,4,train
In the End,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",5.75e-05,0.323,106400,0.951,1.78e-06,1,0.233,-5.844,1,0.0442,139.54,4,train
Jesus of Suburbia,Green Day,2004,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000259,0.3,548253,0.929,2.26e-06,1,0.329,-3.214,1,0.0636,147.116,4,train
Dilemma,Green Day,2023,"['modern rock', 'permanent wave', 'punk', 'rock']",0.000318,0.545,198325,0.892,0.0,2,0.209,-3.381,1,0.0558,120.41,4,train
Pulling Teeth,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00171,0.531,150827,0.872,0.0863,3,0.109,-5.064,1,0.0492,128.211,4,train
Suzie Chapstick,Green Day,2024,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00647,0.63,196794,0.907,0.00793,9,0.0789,-3.312,0,0.0329,121.97,4,train
Chump,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",0.00023,0.221,174040,0.887,0.177,10,0.159,-8.396,1,0.0537,173.569,4,train
Sassafras Roots,Green Day,1994,"['modern rock', 'permanent wave', 'punk', 'rock']",5.03e-05,0.172,157627,0.97,0.00479,8,0.257,-5.104,1,0.0409,182.451,4,train
Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
The Adults Are Talking,The Strokes,2020,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.0113,0.593,309053,0.749,0.106,5,0.314,-5.67,1,0.0475,164.959,4,train
Reptilia,The Strokes,2003,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.000603,0.489,219827,0.649,0.713,9,0.101,-5.11,1,0.0336,158.009,4,train
Someday,The Strokes,2001,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.00425,0.539,183440,0.521,0.0,9,0.367,-7.46,1,0.0299,106.035,4,train
Last Nite,The Strokes,2001,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.0221,0.624,193373,0.899,0.000137,0,0.0975,-5.709,1,0.0296,104.061,4,train
"Call It Fate, Call It Karma",The Strokes,2013,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.983,0.544,204773,0.241,0.774,4,0.101,-14.779,0,0.03,109.437,4,train
You Only Live Once,The Strokes,2006,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.0238,0.63,189227,0.908,0.592,11,0.116,-2.42,1,0.0326,120.522,4,train
Selfless,The Strokes,2020,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.191,0.538,222093,0.679,0.00175,4,0.0889,-4.297,1,0.0333,121.99,4,train
Is This It,The Strokes,2001,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.147,0.667,151333,0.692,3.75e-05,5,0.349,-8.361,1,0.0285,96.022,4,train
12:51,The Strokes,2003,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.312,0.451,153133,0.889,0.8,4,0.558,-3.838,1,0.0379,145.056,4,train
